%time,field.header.seq,field.header.stamp,field.header.frame_id,field.time,field.frame_id,field.lat,field.lon,field.alt,field.utm_easting,field.utm_northing,field.zone_num,field.zone_letter
1695770058982739952,1,1695770058980498075,,231417.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770060488751313,2,1695770060486746311,,231418.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770061994645580,3,1695770061992708683,,231419.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770063500504984,4,1695770063498619556,,231420.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770066511973316,5,1695770066509941101,,231421.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770068017881530,6,1695770068015983343,,231422.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770069524005060,7,1695770069522061347,,231423.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770071030144892,8,1695770071028184652,,231424.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770072536192557,9,1695770072534257650,,231425.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770075546264461,10,1695770075544233322,,231426.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770077051977352,11,1695770077050185441,,231427.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770078557758800,12,1695770078556035757,,231428.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770080063825437,13,1695770080061887264,,231429.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770081569668264,14,1695770081567768335,,231430.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770084579816357,15,1695770084577905654,,231431.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770086085597425,16,1695770086083839893,,231432.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770087591538853,17,1695770087589718103,,231433.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770089097347315,18,1695770089095583438,,231434.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770090603434612,19,1695770090601684570,,231435.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770093615149108,20,1695770093613287448,,231436.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770095121818489,21,1695770095120019435,,231437.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770096628499516,22,1695770096626738786,,231438.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770098135501513,23,1695770098133527755,,231439.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770099642177129,24,1695770099640403270,,231440.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770102654126210,25,1695770102652089595,,231441.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770104160696245,26,1695770104158868074,,231442.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770105667742558,27,1695770105665762901,,231443.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770107173790935,28,1695770107171854257,,231444.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770108680724471,29,1695770108678689718,,231445.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770111692534147,30,1695770111690593719,,231446.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770113199247163,31,1695770113197355508,,231447.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770114706347268,32,1695770114704458713,,231448.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770116213025632,33,1695770116211157321,,231449.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770117719805473,34,1695770117717907905,,231450.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770120731660296,35,1695770120729636430,,231451.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770122238340098,36,1695770122236446142,,231452.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770123744972076,37,1695770123743166208,,231453.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770125251715781,38,1695770125249850034,,231454.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770126758178966,39,1695770126756476163,,231455.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770129770049296,40,1695770129768096208,,231456.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770131276737647,41,1695770131274870157,,231457.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770132783747319,42,1695770132781906366,,231458.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
1695770134290410907,43,1695770134288604736,,231459.0,GPS1_FRAME,42.30024,-71.12286,60.6,325014.81215166696,4685294.630297236,19.0,T
